Time,Pressure,temperature,Smoke,LPG,Methane,Hydrogen,Ax,Ay,Az,Gx,Gy,Gz
205.382,99350.61,30.86,20.58066,4.757933,12.60398,9.325122,0.04,0.03,1.01,-5.55,-1.92,0.48
217.435,99352.23,30.85,20.89023,4.440918,10.95116,8.911567,0.29,0.25,0.9599999,1.44,-19.11,14.01
229.48,99344.92,30.89,21.88825,4.433233,11.79549,10.77672,0.25,0.25,0.9700001,-5.57,-2.16,0.13
241.526,99348.58,30.93,25.49912,5.025818,15.49772,12.83621,1.04,-0.06,0.09,-36.98,-2.67,-14.4
253.569,99297.38,31.0,45.19565,10.91823,36.25055,21.87038,1.0,-0.17,0.08,-6.26,3.37,2.85
265.621,101699.5,32.1,109.7742,28.6286,132.1418,45.28021,0.92,-0.36,-0.27,0.7,0.18,-2.24
277.666,98305.74,33.0,93.82429,15.09562,37.98814,17.42876,1.16,0.02,-0.19,-97.4,21.36,-28.52
289.71,98894.61,32.9,47.56456,18.97681,66.28423,34.92749,1.03,-0.03,-0.26,-0.08,-5.76,3.12
301.755,100745.5,33.85,88.39899,17.01738,54.26204,39.49277,0.9700001,-0.15,-0.22,-12.5,3.13,16.73
313.8,99060.48,34.2,108.8561,21.38953,68.71478,29.46974,1.02,-0.02,0.05,1.58,-0.95,17.13
25.247,99400.5,33.3,19.65101,4.319788,11.10123,8.378527,0.0,-0.02,1.02,-5.9,-1.7,0.71
37.298,99394.31,33.12,19.05783,4.155353,10.63533,8.111832,0.0,-0.02,1.01,-5.76,-1.79,0.56
49.348,99393.76,32.98,18.32184,4.078675,41.31408,10465.68,0.17,0.9700001,-0.35,-0.35,-1.93,3.56
61.396,99377.94,32.63,5764.185,1541.726,1885.841,936.9763,0.16,0.94,-0.33,-7.11,0.88,-5.16
73.446,99373.77,32.34,31361.74,22020.92,3280.899,3321.084,0.15,0.93,-0.36,-6.35,-1.93,-1.0
85.504,99365.22,32.08,4133.479,20.76528,25.06122,11.87089,-0.21,0.32,0.94,-3.96,-0.99,3.03
97.551,99339.66,32.17,24.28739,4.960386,12.13352,8.569965,-0.4,0.41,0.87,-3.85,-1.41,1.09
109.605,99335.54,32.18,19.19329,4.129504,10.24488,7.871699,-0.37,0.2,0.93,-6.11,-2.69,-0.53
121.65,99330.13,32.23,17.35678,3.756066,9.40455,7.249382,0.02,0.98,0.29,-11.35,0.009999999,2.55
133.695,99332.76,32.23,31.6728,480.6069,4113.542,680.5499,0.25,0.9700001,-0.18,-2.76,-1.37,2.83
145.739,99345.82,32.05,2761.176,390.6444,1523.337,86.70757,-0.21,0.61,0.79,-3.79,3.85,-0.9
157.791,99214.57,32.43,133.1478,17.99532,46.95313,23.25241,0.68,-0.37,0.89,-27.02,-34.01,-36.59
